Name: ,Specialization,Highest degree: ,Experience,Fee,Degrees:,Wait_time,Number of Patients:,Rating,Location
Dr. Afshan Ahmad,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S,15 Years,"Rs. 2,500",F.C.P.S (Dermatology),Under 15 Min,561,98%,Lahore
Dr. Farhana Nazir,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S.,10 Years,"Rs. 1,500",M.C.P.S,Under 15 Min,487,99%,Lahore
Dr. Mahwish Javed,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S.,10 Years,"Rs. 1,500","F.C.P.S (Dermatology),  MRCP1 (UK)",Under 15 Min,102,97%,Lahore
Dr. Tahir Kamal,"Dermatologist, Cosmetic Surgeon, Cosmetologist",MBBS,26 Years,"Rs. 3,000","FCPS (Dermatology),  MAACS (USA),  DDSC (UK)",Under 15 Min,694,97%,Lahore
Dr. Adnan Mehmood,"Dermatologist, Hair Transplant Surgeon",MBBS,20 Years,"Rs. 2,000","M.D (Dermatology),  Post Graduation Diploma in Aesthetic Dermatology",Under 15 Min,1625,97%,Lahore
Assoc. Prof. Dr. Uzma Sarwar,"Dermatologist, Aesthetic Physician, Cosmetologist",MBBS,18 Years,"Rs. 2,500","FCPS (Dermatology),  CHPE,  Certified in Aesthetic Physician",Under 15 Min,337,100%,Lahore
Dr. Alina Abbas,"Dermatologist, Cosmetologist",M.B.B.S.,8 Years,"Rs. 1,500",F.C.P.S.,15 - 30 Min,782,100%,Lahore
Dr. Wajieha Saeed,"Dermatologist, Cosmetologist",MBBS,16 Years,"Rs. 3,000",FCPS (Dermatology),15 - 30 Min,1320,98%,Lahore
Dr. Khadija Malik,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S.,16 Years,"Rs. 2,500",F.C.P.S. (Dermatology),Under 15 Min,787,98%,Lahore
Dr. Zara Leghari,"Aesthetic Physician, Dermatologist",M.B.B.S,10 Years,"Rs. 2,000","Diploma in Aesthetic Medicine (USA),  Dip in Dermatology (UK)",15 - 30 Min,10,100%,Lahore
Dr. Saira Hameed,"Dermatologist, Cosmetologist",M.B.B.S,14 Years,"Rs. 1,000","F.C.P.S (Dermatology),  M.C.P.S",Under 15 Min,1281,98%,Lahore
Dr. Huma Saleem,"Dermatologist, Cosmetologist",M.B.B.S.,10 Years,"Rs. 3,000","F.C.P.S. (Dermatology),  Board Certified Aesthetic Physician",Under 15 Min,513,99%,Lahore
Dr. Quratul Ain Sajida,"Dermatologist, Cosmetologist",MBBS,32 Years,"Rs. 3,500",MCPS (Dermatology),Under 15 Min,1386,97%,Lahore
Dr. Mahru Usman,"Dermatologist, Cosmetologist",MBBS,13 Years,"Rs. 2,000","MCPS (Dermatology),  Certificate in Aesthetic Medicine (USA)",15 - 30 Min,53,100%,Lahore
Dr. Shadia Amir,"Dermatologist, Aesthetic Physician",M.B.B.S,16 Years,"Rs. 2,000","M.C.P.S (Dermatology),  D-Derm (UK),  Diplomate American Academy Of Aesthetic Medicine (AAAM)",Under 15 Min,238,99%,Lahore
Assist. Prof. Dr. Ghazala Butt,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S,18 Years,"Rs. 3,000","M.D (Dermatology),  Ph.D",Under 15 Min,365,99%,Lahore
Assoc. Prof. Dr. Talat Masood Akbar,"Dermatologist, Cosmetologist",MBBS,19 Years,"Rs. 3,000",FCPS (Dermatology),Under 15 Min,125,100%,Lahore
Dr. Samina Kausar,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,21 Years,"Rs. 2,500",MCPS (Dermatologist),Under 15 Min,679,99%,Lahore
Dr. Amber Bashir,"Dermatologist, Aesthetic Physician",M.B.B.S,7 Years,"Rs. 2,500","Diploma in Cosmetic Medicine,  M.C.P.S",Under 15 Min,423,98%,Lahore
Assist. Prof. Dr. Sana Younas,"Dermatologist, Cosmetologist",M.B.B.S.,10 Years,"Rs. 2,500",F.C.P.S.,15 - 30 Min,1082,98%,Lahore
Dr. Ashba Nasir Cheema,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S.,15 Years,"Rs. 2,000","M.C.P.S,  M.D.",Under 15 Min,1042,98%,Lahore
Dr. Waqar Malik,"Dermatologist, Cosmetologist",M.B.B.S.,6 Years,"Rs. 1,000","M.Sc Clinical Dermatology (UK),  Professional Diploma in Facial Aesthetic,  Certified in Dermal Fillers,  PRGF,  Microneedling & Mesotherapy",15 - 30 Min,33,100%,Lahore
Dr. Muneeza Qamar,"Dermatologist, Cosmetologist",F.C.P.S.,9 Years,"Rs. 2,000",M.B.B.S.,Under 15 Min,732,99%,Lahore
Dr. Samra Sadaf,"Dermatologist, Cosmetologist",M.B.B.S,"91%
                                                                                    (55)","Rs. 1,200",M.C.P.S. (Dermatology),5 Years,55,,Lahore
Dr. Asma Kanwal Jawad,"Dermatologist, Aesthetic Physician, Laser Specialist, Cosmetologist",MBBS,12 Years,"Rs. 2,000",DIP in DERMATOLOGY (MD Dermatology),Under 15 Min,679,98%,Lahore
Dr. Samra Rafique,"Dermatologist, Cosmetologist",MBBS,12 Years,"Rs. 2,000",FCPS (Dermatology),Under 15 Min,27,100%,Lahore
Dr. Muhammad Anees,"Dermatologist, Cosmetologist",MBBS,10 Years,"Rs. 2,500",FCPS (Dermatology),Under 15 Min,112,100%,Lahore
Assist. Prof. Dr. Rabia Ishfaq,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S,17 Years,"Rs. 2,500",F.C.P.S (Dermatology),Under 15 Min,725,96%,Lahore
Dr. Sahar Mashoor,"Dermatologist, Cosmetologist",MBBS,3 Years,"Rs. 2,500","Diploma in Dermatology,  Pg. Dip Derm",Under 15 Min,15,94%,Lahore
Dr. Sommiya Anum,"Cosmetologist, Laser Specialist, Dermatologist",M.B.B.S.,9 Years,"Rs. 3,000","FCPS DERMATOLOGY ,  Laser Specialist,  B.S. Human Nutrition and Dietetics,  B.S. Emergency and Intensive Care Science",Under 15 Min,355,99%,Lahore
Dr. Farwa Nasir Khan,"Dermatologist, Cosmetologist",M.B.B.S,9 Years,Not Available,F.C.P.S (Dermatology),Under 15 Min,399,97%,Lahore
Dr. Asim Suhail,"Dermatologist, Cosmetologist",M.B.B.S.,17 Years,"Rs. 2,000","M.C.P.S. (Dermatology),  AACME (USA),  Professional Diploma in Facial Aesthetic (USA)",15 - 30 Min,508,99%,Lahore
Dr. Farooq Tajammal Khan,"Dermatologist, Plastic Surgeon, Cosmetologist",F.R.C.S. (UK),30 Years,"Rs. 4,000","F.C.P.S. (Plastic Surgery),  D.Derm (London)",Under 15 Min,292,99%,Lahore
Dr. Fatima Bashir,"Dermatologist, Cosmetologist",M.B.B.S,6 Years,"Rs. 1,000",F.C.P.S (Dermatology),Under 15 Min,14,100%,Lahore
Dr. Hafiz Ahmed Haroon Amin,"Dermatologist, Cosmetologist",M.B.B.S.,7 Years,"Rs. 2,500",M.C.P.S,Under 15 Min,786,99%,Lahore
Dr. Rabia Shaukat,"Dermatologist, Cosmetologist",M.B.B.S,6 Years,Not Available,F.C.P.S. (Dermatology),Under 15 Min,12,100%,Lahore
Dr. Ali Kazmi,"Dermatologist, Cosmetologist",M.B.B.S.,35 Years,"Rs. 3,000",Dip. Derm. From UK London,Under 15 Min,1561,96%,Lahore
Dr. Asma Shakir,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S,10 Years,"Rs. 1,000",F.C.P.S. (Dermatology),Under 15 Min,157,99%,Lahore
Dr. Maryam Rafat,"Dermatologist, Aesthetic Physician",M.B.B.S.,17 Years,"Rs. 3,000","MCPS ( Dermatology),  MD (Dermatology)",Under 15 Min,249,100%,Lahore
Dr. Farzana Faiz,"Dermatologist, Cosmetologist",MBBS,17 Years,"Rs. 3,000",FCPS (Dermatology),15 - 30 Min,21,100%,Lahore
Dr. Kiran Irfan,"Dermatologist, Cosmetologist",MBBS,8 Years,Not Available,MD (Dermatology),15 - 30 Min,75,99%,Lahore
Dr. Nida Kafayat,"Dermatologist, Cosmetologist",M.B.B.S,10 Years,"Rs. 2,000",F.C.P.S,Under 15 Min,11,100%,Lahore
