,Name,Specialization,Highest degree,Experience,Fee,Wait_time,Number of Patients,Satisfaction_level,Location
0,Dr. Afshan Ahmad,Dermatologist,MBBS,15.0,2500.0,Under 15 Min,561.0,98,Lahore
1,Dr. Farhana Nazir,Dermatologist,MBBS,10.0,1500.0,Under 15 Min,487.0,99,Lahore
2,Dr. Mahwish Javed,Dermatologist,MBBS,10.0,1500.0,Under 15 Min,102.0,97,Lahore
3,Dr. Tahir Kamal,Dermatologist,MBBS,26.0,3000.0,Under 15 Min,694.0,97,Lahore
4,Dr. Adnan Mehmood,Dermatologist,MBBS,20.0,2000.0,Under 15 Min,1625.0,97,Lahore
5,Assoc. Prof. Dr. Uzma Sarwar,Dermatologist,MBBS,18.0,2500.0,Under 15 Min,337.0,100,Lahore
6,Dr. Alina Abbas,Dermatologist,MBBS,8.0,1500.0,15 - 30 Min,782.0,100,Lahore
7,Dr. Wajieha Saeed,Dermatologist,MBBS,16.0,3000.0,15 - 30 Min,1320.0,98,Lahore
8,Dr. Khadija Malik,Dermatologist,MBBS,16.0,2500.0,Under 15 Min,787.0,98,Lahore
9,Dr. Zara Leghari,Dermatologist,MBBS,10.0,2000.0,15 - 30 Min,10.0,100,Lahore
10,Dr. Saira Hameed,Dermatologist,MBBS,14.0,1000.0,Under 15 Min,1281.0,98,Lahore
11,Dr. Huma Saleem,Dermatologist,MBBS,10.0,3000.0,Under 15 Min,513.0,99,Lahore
12,Dr. Quratul Ain Sajida,Dermatologist,MBBS,32.0,3500.0,Under 15 Min,1386.0,97,Lahore
13,Dr. Mahru Usman,Dermatologist,MBBS,13.0,2000.0,15 - 30 Min,53.0,100,Lahore
14,Dr. Shadia Amir,Dermatologist,MBBS,16.0,2000.0,Under 15 Min,238.0,99,Lahore
15,Assist. Prof. Dr. Ghazala Butt,Dermatologist,MBBS,18.0,3000.0,Under 15 Min,365.0,99,Lahore
16,Assoc. Prof. Dr. Talat Masood Akbar,Dermatologist,MBBS,19.0,3000.0,Under 15 Min,125.0,100,Lahore
17,Dr. Samina Kausar,Dermatologist,MBBS,21.0,2500.0,Under 15 Min,679.0,99,Lahore
18,Dr. Amber Bashir,Dermatologist,MBBS,7.0,2500.0,Under 15 Min,423.0,98,Lahore
19,Assist. Prof. Dr. Sana Younas,Dermatologist,MBBS,10.0,2500.0,15 - 30 Min,1082.0,98,Lahore
20,Dr. Ashba Nasir Cheema,Dermatologist,MBBS,15.0,2000.0,Under 15 Min,1042.0,98,Lahore
21,Dr. Waqar Malik,Dermatologist,MBBS,6.0,1000.0,15 - 30 Min,33.0,100,Lahore
22,Dr. Muneeza Qamar,Dermatologist,F.C.P.S.,9.0,2000.0,Under 15 Min,732.0,99,Lahore
23,Dr. Asma Kanwal Jawad,Dermatologist,MBBS,12.0,2000.0,Under 15 Min,679.0,98,Lahore
24,Dr. Samra Rafique,Dermatologist,MBBS,12.0,2000.0,Under 15 Min,27.0,100,Lahore
25,Dr. Muhammad Anees,Dermatologist,MBBS,10.0,2500.0,Under 15 Min,112.0,100,Lahore
26,Assist. Prof. Dr. Rabia Ishfaq,Dermatologist,MBBS,17.0,2500.0,Under 15 Min,725.0,96,Lahore
27,Dr. Sahar Mashoor,Dermatologist,MBBS,3.0,2500.0,Under 15 Min,15.0,94,Lahore
28,Dr. Sommiya Anum,Dermatologist,MBBS,9.0,3000.0,Under 15 Min,355.0,99,Lahore
29,Dr. Farwa Nasir Khan,Dermatologist,MBBS,9.0,1000.0,Under 15 Min,399.0,97,Lahore
30,Dr. Asim Suhail,Dermatologist,MBBS,17.0,2000.0,15 - 30 Min,508.0,99,Lahore
31,Dr. Farooq Tajammal Khan,Dermatologist,F.R.C.S. (UK),30.0,4000.0,Under 15 Min,292.0,99,Lahore
32,Dr. Fatima Bashir,Dermatologist,MBBS,6.0,1000.0,Under 15 Min,14.0,100,Lahore
33,Dr. Hafiz Ahmed Haroon Amin,Dermatologist,MBBS,7.0,2500.0,Under 15 Min,786.0,99,Lahore
34,Dr. Rabia Shaukat,Dermatologist,MBBS,6.0,1000.0,Under 15 Min,12.0,100,Lahore
35,Dr. Ali Kazmi,Dermatologist,MBBS,35.0,3000.0,Under 15 Min,1561.0,96,Lahore
36,Dr. Asma Shakir,Dermatologist,MBBS,10.0,1000.0,Under 15 Min,157.0,99,Lahore
37,Dr. Maryam Rafat,Dermatologist,MBBS,17.0,3000.0,Under 15 Min,249.0,100,Lahore
38,Dr. Farzana Faiz,Dermatologist,MBBS,17.0,3000.0,15 - 30 Min,21.0,100,Lahore
39,Dr. Kiran Irfan,Dermatologist,MBBS,8.0,1000.0,15 - 30 Min,75.0,99,Lahore
40,Dr. Nida Kafayat,Dermatologist,MBBS,10.0,2000.0,Under 15 Min,11.0,100,Lahore
41,Dr. Eram Razzaq,Dermatologist,MBBS,12.0,1000.0,Under 15 Min,33.0,100,Lahore
42,Dr. Asim Ali Malik,Dermatologist,MBBS,20.0,3000.0,Under 15 Min,224.0,97,Lahore
43,Dr. Burhan Ashraf,Dermatologist,MBBS,11.0,2000.0,15 - 30 Min,71.0,95,Lahore
44,Dr. Sehrish Khalid,Dermatologist,MBBS,6.0,3000.0,15 - 30 Min,84.0,100,Lahore
45,Dr. Kehkshan Tahir,Dermatologist,MBBS,15.0,2500.0,Under 15 Min,200.0,99,Lahore
46,Dr. Aisha Ahmad,Dermatologist,MBBS,12.0,2000.0,Under 15 Min,190.0,98,Lahore
47,Dr. Chaudhary Muhammad Tahir,Dermatologist,MBBS,32.0,2500.0,Under 15 Min,521.0,98,Lahore
48,Dr. Faryal Ather,Dermatologist,MBBS,13.0,2500.0,Under 15 Min,141.0,98,Lahore
49,Prof. Dr. Faria Asad,Dermatologist,MBBS,25.0,3000.0,Under 15 Min,834.0,99,Lahore
50,Dr. Shumaila Waqas,Dermatologist,MBBS,15.0,1000.0,Under 15 Min,563.0,98,Lahore
51,Brig.(R) Dr. Rehan Uddin,Dermatologist,MBBS,30.0,2000.0,Under 15 Min,252.0,98,Lahore
52,Dr. Tauqir Haider,Dermatologist,MBBS,30.0,2000.0,Under 15 Min,197.0,99,Lahore
